iter	Passed	Remaining
0	0	65
1	1	65
2	1	61
3	2	58
4	3	57
5	3	56
6	4	55
7	4	55
8	5	53
9	5	52
10	6	52
11	6	51
12	7	50
13	8	49
14	8	48
15	9	48
16	9	47
17	10	46
18	10	46
19	11	45
20	11	44
21	12	44
22	12	43
23	13	42
24	13	41
25	14	41
26	15	40
27	15	39
28	16	39
29	16	38
30	17	37
31	17	37
32	18	36
33	18	36
34	19	35
35	19	34
36	20	34
37	20	33
38	21	33
39	21	32
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	28	24
54	29	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	14
74	40	13
75	41	12
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
